1305,player_1,Scout,105.45,0.05
1306,player_0,Guard,66.65,0.05
1307,player_3,Scout,153.77,0.05
1308,player_1,Guard,55.04,0.05
1309,player_1,Scout,164.28,0.05
1310,player_1,Guard,52.93,0.05
1310,player_1,Scout,149.3,0.05
1310,player_1,Scout,149.3,0.05
1311,player_1,Guard,-85.89,0.05
1312,player_3,Scout,143.03,0.05
1313,player_1,Guard,40.61,0.05
1314,player_1,Scout,68.61,0.05
1315,player_1,Guard,-82.29,0.05
1316,player_3,Scout,85.71,0.05
1305,player_1,Scout,105.45,0.05
1306,player_0,Guard,66.65,0.05
1307,player_3,Scout,153.77,0.05
1308,player_1,Guard,55.04,0.05
1309,player_1,Scout,164.28,0.05
1310,player_1,Guard,52.93,0.05
1311,player_3,Scout,150.47,0.05
1312,player_1,Guard,58.29,0.05
1313,player_1,Scout,158.75,0.05
1314,player_0,Guard,65.84,0.05
1315,player_3,Scout,126.56,0.05
1316,player_2,Guard,79.42,0.05
1317,player_1,Scout,172.47,0.05
1318,player_0,Guard,59.75,0.05
1319,player_3,Scout,165.31,0.05
1320,player_1,Guard,50.7,0.05
1321,player_1,Scout,130.18,0.05
1322,player_1,Guard,61.57,0.05
1323,player_3,Scout,120.67,0.05
1324,player_1,Guard,59.5,0.05
1325,player_1,Scout,144.25,0.05
1326,player_3,Guard,70.33,0.05
1327,player_3,Scout,141.72,0.05
1328,player_1,Guard,34.75,0.05
1329,player_1,Scout,163.56,0.05
1330,player_0,Guard,43.43,0.05
1331,player_3,Scout,167.34,0.05
1332,player_1,Guard,46.4,0.05
1333,player_1,Scout,183.02,0.05
1334,player_3,Guard,42.46,0.05
1335,player_3,Scout,166.81,0.05
1336,player_2,Guard,64.2,0.05
1337,player_1,Scout,37.76,0.05
1338,player_0,Guard,36.78,0.05
1339,player_3,Scout,83.64,0.05
1340,player_3,Guard,58.12,0.05
1341,player_1,Scout,137.0,0.05
1342,player_1,Guard,60.66,0.05
1343,player_3,Scout,144.79,0.05
1344,player_3,Guard,53.64,0.05
1345,player_1,Scout,178.18,0.05
1346,player_3,Guard,71.04,0.05
1347,player_3,Scout,169.87,0.05
1348,player_1,Guard,32.89,0.05
1349,player_1,Scout,160.49,0.05
1350,player_0,Guard,14.06,0.05
1351,player_3,Scout,152.41,0.05
1352,player_3,Guard,59.77,0.05
1353,player_1,Scout,166.41,0.05
1354,player_3,Guard,-49.69,0.05
1355,player_3,Scout,165.58,0.05
1356,player_1,Guard,55.41,0.05
1357,player_1,Scout,162.46,0.05
1358,player_3,Guard,51.72,0.05
1359,player_3,Scout,166.83,0.05
1360,player_2,Guard,39.24,0.05
1361,player_1,Scout,138.23,0.05
1362,player_3,Guard,71.69,0.05
1363,player_3,Scout,177.01,0.05
1364,player_2,Guard,85.38,0.05
1365,player_1,Scout,148.73,0.05
1366,player_3,Guard,69.21,0.05
